# type=translation; title=高校入試対策_英文和訳問題_18問; instruction=次の英文を日本語に訳しなさい。
"This temple was built about 500 years ago.","この寺は約500年前に建てられました。"
"I have just finished my homework.","私はちょうど宿題を終えたところです。"
"The man who is standing by the door is my uncle.","ドアのそばに立っている男性は私のおじです。"
"This is the book which I bought yesterday.","これは私が昨日買った本です。"
"My hobby is to collect stamps from all over the world.","私の趣味は世界中の切手を集めることです。"
"I got up early to catch the first train.","私は始発電車に乗るために早く起きました。"
"Please stop talking and listen to me.","話すのをやめて私の言うことを聞いてください。"
"Look at the girl running in the park.","公園を走っている女の子を見てください。"
"I received a letter written in English.","私は英語で書かれた手紙を受け取りました。"
"I don't know where he lives.","私は彼がどこに住んでいるか知りません。"
"I think that this movie is very interesting.","私はこの映画はとても面白いと思います。"
"Mt. Fuji is the highest mountain in Japan.","富士山は日本で一番高い山です。"
"He is too tired to walk anymore.","彼は疲れすぎてこれ以上歩けません。"
"It was so hot that we went swimming.","とても暑かったので私たちは泳ぎに行きました。"
"It is difficult for me to read this book.","私にとってこの本を読むことは難しいです。"
"I asked him to help me with my homework.","私は彼に宿題を手伝ってくれるように頼みました。"
"The news made us happy.","その知らせは私たちを幸せにしました。"
"Thank you for inviting me to the party.","パーティーに招待してくれてありがとう。"
